[Sun Oct 16 21:04:13.220018 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP Warning:  The use statement with non-compound name 'AdminFormElement' has no effect in /home/evgeniy/Hosts/altamedica.local/app/Admin/bootstrap.php on line 2, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220214 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP Stack trace:, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220279 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   1. {main}() /home/evgeniy/Hosts/altamedica.local/public/index.php:0, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220321 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/evgeniy/Hosts/altamedica.local/public/index.php:53, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220342 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220355 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   4. Illuminate\\Foundation\\Http\\Kernel->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:144, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220365 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   5. Illuminate\\Foundation\\Application->bootstrapWith() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:253, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220375 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   6. Illuminate\\Foundation\\Bootstrap\\BootProviders->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220385 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   7. Illuminate\\Foundation\\Application->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220394 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   8. array_walk() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220404 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP   9. Illuminate\\Foundation\\Application->Illuminate\\Foundation\\{closure}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220414 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP  10. Illuminate\\Foundation\\Application->bootProvider() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:752, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220423 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP  11. Illuminate\\Container\\Container->call() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:769, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220432 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP  12. call_user_func_array:{/home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220442 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP  13. SleepingOwl\\Admin\\Providers\\AdminServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/addresses
[Sun Oct 16 21:04:13.220463 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP  14. SleepingOwl\\Admin\\Providers\\AdminServiceProvider->registerBootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminServiceProvider.php:76, referer: http://altamedica.local/admin/addresses
[Wed Oct 19 23:41:14.721324 2016] [core:crit] [pid 28754] (13)Permission denied: [client 127.0.0.1:35402] AH00529: /home/evgeniy/Hosts/altamedica.local/public/mobile/css/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/evgeniy/Hosts/altamedica.local/public/mobile/css/' is executable, referer: http://m.altamedica.local/about-clinic
[Wed Oct 19 23:41:14.766781 2016] [core:crit] [pid 28754] (13)Permission denied: [client 127.0.0.1:35402] AH00529: /home/evgeniy/Hosts/altamedica.local/public/mobile/img/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/evgeniy/Hosts/altamedica.local/public/mobile/img/' is executable, referer: http://m.altamedica.local/about-clinic
